review_text,prediction,id,metrics,event_timestamp
"{""text"":""March 2015 I took a trip to New York. A coworker suggested I try the Uber app. Trip one, the pick up at the airport, the driver was sitting in the wrong place and expected me to walk to him at the other end of the terminal. Trip 2 a short ride from my hotel was $20, when a yellow cab for the same trip was $8. The driver again stopped midway down the block and parked in front of another hotel. It took him 25 minutes to find me, when the APP showed his car making circles around the blocks nearby. Trip 3 the driver did not know where to go to find Broadway and Lafayette. Uber drivers use their personal cars to pick up a few fares. They don't know the normal taxi protocols, and it cost be double or more for each local ride. Yellow Cabs are still a great service, with professionals who may not have fancy black cars, but have expertise in driving.""}","[{""label"":""1"",""score"":1.0}]",d978725b-bbe8-4fa9-bf16-702f59a227f5,"{""text_length"":853}",2015-04-02T00:00:00.000
"{""text"":""Totally unprofessional driver - First when he did not pull up to location he waited across the street from the location. So my son and I had to walk across. NO problem. When we get to destination my hotel was across the street I asked him to make a U-turn and drop me in front of my location. He told me he wanted to go straight so he wasn't making U-turn. He said he would have to go around the block. I said fine with me. I told him I was going to report him. He then sped up the car to the middle of next block and told me and my child to get out and I did leave without incident.""}","[{""label"":""1"",""score"":1.0}]",d980c538-5e29-45d8-a74a-7ca313882e72,"{""text_length"":583}",2017-06-20T00:00:00.000
"{""text"":""Their price is too high compared to Lyft so I stopped using Uber. I had scheduled times to be picked up early for work and still was late because the app kept switching drivers and I scheduled the ride for the next morning so I had to actually get a Uber a hour before I have to get to work to be there on time.""}","[{""label"":""1"",""score"":1.0}]",d9857be6-0e33-432c-9c29-bb2ceb833d9b,"{""text_length"":311}",2018-12-02T00:00:00.000
"{""text"":""I left my iPhone yesterday Oct. 2, 2018 in an Uber. Uber makes it impossible to retrieve item as you can't talk to a live person but must submit via phone (which I left in car) or online only to get a response 24hrs later it's been resolved. I asked for the driver to call me back and got NOTHING. Never ever use Uber again. They exploit their drivers and steal your stuff with no call back. Worst company ever and can't wait for them to fail. All I asked for was a call back from the driver which they promised and never did. Now I have to go back to Vegas without a phone and all my data.""}","[{""label"":""1"",""score"":1.0}]",d99a0cc5-018e-4067-812e-3f4f597f4948,"{""text_length"":590}",2018-10-03T00:00:00.000
"{""text"":""There were two representatives for Uber at Westfield mall in Escondido yesterday, one ** one **. The ** man was staring at women's behind as they walked by! That was offensive for me to see and I let the ** man know it. He said \""Thank you\"" and he would take care of it but man come on!!! What do you think he is like when he is alone with female passengers!!!""}","[{""label"":""1"",""score"":1.0}]",d9a72632-dbde-4612-8a14-c9113cfaeb24,"{""text_length"":359}",2017-09-11T00:00:00.000
"{""text"":""I like the Uber app which lets me know where their cars are in proximity to my location, who my driver is, what car they are driving and when they will arrive to pick me up. I love that I do not have to tip. I get in the car and the driver already knows where I want to go. I get out as soon as we arrive and immediately get an opportunity to rate the driver. The service is great.""}","[{""label"":""5"",""score"":1.0}]",d9b660c7-a593-4343-9c63-98428e23b735,"{""text_length"":381}",2017-09-14T00:00:00.000
"{""text"":""Driver was OK, until we said he was going the wrong way. Then I said \""We are gonna dock you one star.\"" Then he said with a whiny voice \""I could lose my job.\"" We said \""What destination are you taking us.\"" He was not able to confirm our destination. As we were going away from our destination. He was very RUDE and said he was using an Uber app for directions. We said \""Regardless, you are not going the normal route to the American Airlines Area. I go to Miami three days a week. I know how to get there many ways, but not the route you are taking.\""""}","[{""label"":""1"",""score"":1.0}]",d9baa8e9-3851-4b5e-8b35-30783e7be178,"{""text_length"":548}",2017-07-10T00:00:00.000
"{""text"":""As a driver I was assaulted by a couple guys. Uber failed to help me out as a driver. Totally took the farer's word who was extremely drunk. Kicked a dent in my car. After trying numerous times to send in pictures, Uber app kept shutting down. Also 2nd time with same results with same thing. They don't take care of their drivers.""}","[{""label"":""1"",""score"":1.0}]",d9c0c19f-0841-46ec-9ee5-28284cc80713,"{""text_length"":331}",2016-08-18T00:00:00.000
"{""text"":""I like the convenience of Uber, and have been a loyal customer for a long time. HOWEVER, when TWO of their drivers cancel on me within minutes, and then the PRICE GOES UP for the next one... I'm not a happy camper. I used to refer all of my friends to this service, especially the ones using Lyft.... Not any longer. $#*! this service, their drivers that were disrespectful on the phone with me... My business and my friends' business will go elsewhere. Thanks Uber, for your killings, lack of customer service, entitlement and garbage program. Byyyyyeeeeeeeeeeee.""}","[{""label"":""1"",""score"":1.0}]",d9c8730c-3ffd-4b7f-8e76-f5a5134e426f,"{""text_length"":564}",2017-11-11T00:00:00.000
"{""text"":""So I rode about a week or two ago and I had a few hour drive . Was already costing me enough and I was disrespected due to being trans and the driver stopped on the way never stopping the meter so I was charged  extra . Wrote uber and they said they can't do nothing but say sorry and have an good day . Wrote in over and over and there just like again we can't give you credit or anything have an good day_x000D_Useless and an waste of time_x000D_Never suggesting them to anyone _x000D_Worst company in the world _x000D_Wouldn't recommend them to anyone""}","[{""label"":""1"",""score"":1.0}]",d9c8b41d-1a4f-4642-9368-6669d09cfd56,"{""text_length"":554}",2017-02-10T00:00:00.000
