inputs,rating,id,word_length,date
"""March 2015 I took a trip to New York. A coworker suggested I try the Uber app. Trip one, the pick up at the airport, the driver was sitting in the wrong place and expected me to walk to him at the other end of the terminal. Trip 2 a short ride from my hotel was $20, when a yellow cab for the same trip was $8. The driver again stopped midway down the block and parked in front of another hotel. It took him 25 minutes to find me, when the APP showed his car making circles around the blocks nearby. Trip 3 the driver did not know where to go to find Broadway and Lafayette. Uber drivers use their personal cars to pick up a few fares. They don't know the normal taxi protocols, and it cost be double or more for each local ride. Yellow Cabs are still a great service, with professionals who may not have fancy black cars, but have expertise in driving.""",1,1999,853,2015-04-02
"""Totally unprofessional driver - First when he did not pull up to location he waited across the street from the location. So my son and I had to walk across. NO problem. When we get to destination my hotel was across the street I asked him to make a U-turn and drop me in front of my location. He told me he wanted to go straight so he wasn't making U-turn. He said he would have to go around the block. I said fine with me. I told him I was going to report him. He then sped up the car to the middle of next block and told me and my child to get out and I did leave without incident.""",1,2000,583,2017-06-20
"""Their price is too high compared to Lyft so I stopped using Uber. I had scheduled times to be picked up early for work and still was late because the app kept switching drivers and I scheduled the ride for the next morning so I had to actually get a Uber a hour before I have to get to work to be there on time.""",1,2001,311,2018-12-02
"""I left my iPhone yesterday Oct. 2, 2018 in an Uber. Uber makes it impossible to retrieve item as you can't talk to a live person but must submit via phone (which I left in car) or online only to get a response 24hrs later it's been resolved. I asked for the driver to call me back and got NOTHING. Never ever use Uber again. They exploit their drivers and steal your stuff with no call back. Worst company ever and can't wait for them to fail. All I asked for was a call back from the driver which they promised and never did. Now I have to go back to Vegas without a phone and all my data.""",1,2002,590,2018-10-03
"""There were two representatives for Uber at Westfield mall in Escondido yesterday, one ** one **. The ** man was staring at women's behind as they walked by! That was offensive for me to see and I let the ** man know it. He said \""Thank you\"" and he would take care of it but man come on!!! What do you think he is like when he is alone with female passengers!!!""",1,2003,359,2017-09-11
"""I like the Uber app which lets me know where their cars are in proximity to my location, who my driver is, what car they are driving and when they will arrive to pick me up. I love that I do not have to tip. I get in the car and the driver already knows where I want to go. I get out as soon as we arrive and immediately get an opportunity to rate the driver. The service is great.""",5,2004,381,2017-09-14
"""Driver was OK, until we said he was going the wrong way. Then I said \""We are gonna dock you one star.\"" Then he said with a whiny voice \""I could lose my job.\"" We said \""What destination are you taking us.\"" He was not able to confirm our destination. As we were going away from our destination. He was very RUDE and said he was using an Uber app for directions. We said \""Regardless, you are not going the normal route to the American Airlines Area. I go to Miami three days a week. I know how to get there many ways, but not the route you are taking.\""""",1,2005,548,2017-07-10
"""As a driver I was assaulted by a couple guys. Uber failed to help me out as a driver. Totally took the farer's word who was extremely drunk. Kicked a dent in my car. After trying numerous times to send in pictures, Uber app kept shutting down. Also 2nd time with same results with same thing. They don't take care of their drivers.""",1,2006,331,2016-08-18
"""I like the convenience of Uber, and have been a loyal customer for a long time. HOWEVER, when TWO of their drivers cancel on me within minutes, and then the PRICE GOES UP for the next one... I'm not a happy camper. I used to refer all of my friends to this service, especially the ones using Lyft.... Not any longer. $#*! this service, their drivers that were disrespectful on the phone with me... My business and my friends' business will go elsewhere. Thanks Uber, for your killings, lack of customer service, entitlement and garbage program. Byyyyyeeeeeeeeeeee.""",1,2007,564,2017-11-11
"""So I rode about a week or two ago and I had a few hour drive . Was already costing me enough and I was disrespected due to being trans and the driver stopped on the way never stopping the meter so I was charged  extra . Wrote uber and they said they can't do nothing but say sorry and have an good day . Wrote in over and over and there just like again we can't give you credit or anything have an good day_x000D_Useless and an waste of time_x000D_Never suggesting them to anyone _x000D_Worst company in the world _x000D_Wouldn't recommend them to anyone""",1,2008,554,2017-02-10
"""I am using uber for more than a year _x000D_Never got disappointed... _x000D_Now uber is offering me 25% off, 75% off that is totally fek ! I never got discounts.... _x000D_I have used lots of coupons by inviting my frds with my promo code_x000D_But now  ! While I enter my promo code. Uber says invalid ... Though I can book a cab but not getting promotion benefits and the fek summer offers ..""",2,2009,395,2017-04-18
"""INSTALLS \""PLATEPASS' ON AUTOS AND STATES THAT IT WOULD GET DRIVERS THROUGH FASTTRACK AND TOLL BRIDGES ONLY TO RECIEVE VIOLATION TICKETS LATER FOR USING \""PLATEPASS\"". UBER REFUSES TO HAVE RIDERS PAY AND BLAMES DRIVERS FOR USING UBERS \""PLATEPASS\""""",1,2010,243,2016-11-08
"""A couple years back the family and I went on a trip to Washington, the state. We went there to one of their water parks. We had loaded up in the motor home and went. The trip ended up being a total bust, the weather, the water park, trying to find accommodation for us and the motor home. Not having another vehicle Uber came through on several times. Each time the Uber people were great. More or less saved the trip.""",4,2011,418,2017-10-04
"""Im a professional taxi driver aside my studies and I knew this was a total hype and nothing more. In sweden we call business like this \""bondfångare\"" = peasants fooler. It nothing romantic or cool about fraudsters and this is what it is.""",1,2012,236,2015-07-13
"""Ubers refund policy is a joke; dont waste your time. I had a very legitimate claim and Uber has been sending me back and forth numerous emails for just 16 dollar and they will just play you around. I always thought Uber is a reputable reliable company until today when i tried the service and realized how much they are fraudulent and their site designed to steal people money.""",1,2013,377,2018-02-15
"""I requested Uber 3/24/17. We were going uptown. I live 10.2 miles from downtown Nashville. My rate was quoted at between $15 and $17. We used Uber there and back. I checked my bank account the next day and to my surprise Uber had charged me $34.50 going to Nashville and $15 coming back. When I inquired about this I was basically given the runaround telling me that I put in a different address than where we went. Once I showed them the Google mileage and the receipt that I printed out from Uber showing that I put in the correct address, now they have changed it to \""It was a demanding night, so the fares went up.\"" That is really funny because the girl who drove us said it was a slow night. Uber overcharged then tried to lie about it. I will never use Uber again.""",1,2014,770,2017-03-27
"""The service is great! I trust my children riding with Uber. And the benefit to the community is not measurable, I'm confident the service has saved many accidents and damages to persons and property.""",5,2015,199,2018-07-25
"""I received an impeccable service transfer from JFK airport to the hotel (5th Avenue in Manhattan) and subsequently on return. Punctual, professional drivers. High-end vehicles and exceptional treatment.""",5,2016,202,2016-09-13
"""I was going out with some friends and we decided to all get an Uber. We called the Uber to come pick us up at my apartment. We gave him the address and he drove us to our destination. It was a long ride so we tried to talk to him. He was very rude with us and gave us short, one word, sarcastic answers. When he dropped us off, it wasn't anywhere close to our destination and we had to walk two miles to get there. This was not a good Uber Experience.""",1,2017,451,2017-03-02
"""two days after using uber for transportation I checked my bank account and noticed seven un authorized fraudulent activities on my account.  Be careful with giving out you financial information when setting up your account.""",1,2018,223,2016-06-02
"""I just had a terrible experience with Uber pool. I ordered it for the first time yesterday on a route that I've taken many times before with UberX. My phone is older, so the Uber app does not allow me to see the fare before requesting an Uber pool ride. However, I'd taken this ride so many times before with UberX and the cost was never more than $50. I figured since Uber pool claims to be up to 40% cheaper that UberX and it's a shared ride, I should be fine. Boy was I wrong! I ordered the pool and waited the estimated time but didn't see the car. I received no phone call either. Finally I noticed the car a half a block down past where I was standing. I went to the car and was told to get out because he had already cancelled. I was charged a $5 cancellation fee.""",1,2019,771,2017-09-17
"""I have had some terrible experiences with the uber cab drivers. They are terrible with directions and they are extremely arrogant. _x000D_Once a driver asked me to get off the cab because he thought I gave the wrong pick up address. And in another instance, the driver shouted at me because I told him to take a specific route. I have had many such experiences and so have my family members.._x000D_If anyone faces an issue like this, please take them directly to the police station. I regret not doing that myself..""",1,2020,516,2016-04-09
"""I am a driver on the Uber platform and have driven in Pennsylvania, New Jersey, Delaware and now South Carolina. I recently had my account put on hold due to a \""report of possible impairment while driving\"". This is maybe the 4th random reporting that is totally b.s. As a ** man I receive all types of race and gender related ignorance and biases and I am vulnerable at all times unless I protect myself while I am on the road. Uber allows passengers to make false reports that affect the driver, but has no way for the driver to protect themselves from the false attacks. After research it's a drastically common issue on the Uber platform. I suggest anyone looking to drive for Uber understand that while you are an independent contractor for Uber, you will still suffer the consequences of the reality that Uber is ran like a private correctional facility. DRIVE AT YOUR OWN HIGH RISK.""",1,2021,888,2018-04-27
"""Using this is convenient. I like the fact that sometimes when I don't want to drive I can use Uber to get where I need to go. The only thing I dislike is when you share rides you have to meet at a certain location and it confused the consumer so that could be straightened out. I think it would really help a lot of people when you're sharing rides and you're on a budget according to your financial status does. This would help improve when consumers and how they use Uber in the future.""",5,2022,488,2019-03-07
"""I have used UberRush multiple times to deliver flower arrangements from my floral shop. I had a problem in November of 2017 and in February of 2018. When you call the support number, it is routed out of the country always. With all due respect, often the person trying to help has a strong accent which can make it difficult to understand what they are saying as well as, often, the reason for my call is often lost in translation. WHY IS UBER UNWILLING TO PROVIDE HELP WITHIN THE UNITED STATES?""",1,2023,495,2018-03-02
"""I needed Uber when moving to Mexico City for work. I created an account and put in debit card, credit card, and PayPal accounts. Uber said the cards were invalid and that they could not connect to Paypal. I checked with my banks to make sure they had accepted the validation amounts sent by Uber. Uber NEVER contacted either bank to verify my cards. When speaking to Uber, they refused to address this issue. They merely told me how to add a payment method. As far as the PayPal problems, they just ignored that.""",1,2024,512,2017-08-28
"""Your drivers are Horrendous! one of your imature drivers was coming Down Delph lane near the TJs pub and he was not looking wear he was going I was coming on opposite street near the woodhouse garage and your driver bumped into my van and he drove of so I saw him at the traffic lights and he said he was in a hurry to the train station but he was going the totally opposite way it is hirrendous I hope you loos business and I know your company used to be around before you used to deal drugs and perv on school kids am I right to say you had a driver in the back with a school kid so you will not get my business at all p.s no one should go through what I have been through from no one.""",1,2025,687,2015-07-08
"""I am an active user of Uber and so, when I saw the service was available in France during my recent vacation, I used Uber rather than a taxi. I left my iPhone in an Uber last Thursday in Bordeaux. I immediately tried to log in to my account and contact the driver but apparently, because I was in another country, they required I provide a verification code - which was sent to my phone, which was in the Uber driver's car. My friend, who is also an Uber user, contacted Uber through her app to file an inquiry on my behalf. We have no less than 10 emails from Uber customer service, a different person each time, asking me/her to file an inquiry online - which would always lead to the service sending a verification code to the phone.""",1,2026,736,2017-07-31
