inputs,rating,id,word_length,date
"""Uber has done a great job to provide us an alternative transportation for people who don't want to use bus or taxis. It provides security and privacy for the customers.""",5,0,168,2017-09-29
"""I've drove Uber for several months last year. I haven't drove for them since I found a good paying job but as of now could use the extra money for holidays. I've been trying to log back into my active account but had no luck retrieving a varification code since I no longer have the same phone/number. I've tried numerous times to contact them about this but with no luck. Every message I send are returned saying I cant reply to that email. & when I go to the website for Uber help I stil get no results back.""",1,1,510,2017-10-09
"""I have a worst experience in UBER. Most Cheated company, worst drivers, rash driving. Never ever think to book this cab.  I am not getting the option of negative rating.""",1,2,169,2016-04-28
"""I just received an odd snail mail supposedly from Uber, there's only one problem: I never used Uber, either as a driver or a rider. It came from a \""Return Mail Processing\"", which runs out of a PO box in Claysburg, PA, and suggests I sign up with \""experianidworks.com\"", which itself appears to be a known fraudulent site. If you receive a letter like this, beware. The website wants your SS number, everything.""",1,3,409,2017-12-11
"""I made an Uber reservation and after waiting for several minutes, the driver never showed up and then he cancelled the trip. I have 2 issue here: On top of this, Uber charged me with a cancellation fee, how ridiculous. I then again tried to reserve a ride, and now they charge me with $33 more with a reason of high demand. This seems like an on-purpose rip-off or a fake demand created. Will never use UBER again.""",1,4,414,2017-04-28
"""Whenever I book a bike or cab from Uber they never came in location from which I have booked the cab. They always go somewhere else, the problem with uber is picking up the location. Its app picks up the wrong location and the drivers goes somewhere else, then I need to help drivers to get my location. So here is the incident: yesterday (10 Aug 2018) I booked a Uber bike and I put my drop location, the same location I always puts whether it's uber or Ola and before reaching the exact location the driver says, \""This is the location you have put and I will not go beyond this location,\"" I told him that, \""You will need to go from another side. This street is closed to get my place,\"" he denied to go. I told him, \""If you drop me on my location then you will be paid otherwise no payment.\"" """,1,5,793,2018-08-11
"""Uber doesn't give a ** about safety. A reckless negligent Uber Eats courier on a bike cause a collision with my car causing damage. Uber doesn't seem to really care. Their biker's negligence jeopardized the safety of all others drivers, pedestrians and other bikers. Have police report as evidence.""",1,6,298,2017-12-11
"""The Uber website states they have a phone numbers for customer service, (not the emergency number, or one out of Singapore), to reach someone 24-7. That is an untrue statement. They take you through several layers, click here, click there, and then back to a website that you have to sign in and create an account. NO PHONE NUMBER!""",1,7,331,2018-08-03
"""I live in a city that has a cab company. The distances are short. I did a check. Uber charges the same amount for the same ride. I guess under certain circumstances it may be cheaper but for now I am staying with my cab company.""",2,8,228,2018-01-19
"""After my account was hacked and rides from England were charged to my credit card I decided to cancel my UBER account. UBER refuses to send me a check for an amount of money credited to my account. They claim that they do not issue checks. I had to cancel my credit card because of their customer database was hacked. They never notified their customers that the database was hacked!!! The amount of money they owe me is irrelevant, it is the principle of the matter.""",1,9,467,2017-12-09
"""A transportation app that has come to improve on thé day to day runing of activities all over accra or Ghana""",3,10,108,2019-10-03
"""Uber drivers are amazing. However, uber as a company not so much. The app rarely gets my location correct, the spotify collaboration... doesn't work, the gps on the app sends drivers the round about way. It. Sucks. Uber I once thought you were great. Now I think... Get your $#*! together.""",1,11,289,2015-09-19
"""I saw the commercials and needed transportation as I am disabled and my knees and legs are also weakened. I opened a Uber account, added a promo code, and thought I was set for my first trip, wrong! I was refused pick up 5 times and was stranded. I tried walking but my legs gave way and fell on the side of the road, a stranger helped me and gave me a ride home. I contacted the company and they stated the account problem is fine on next ride. I was dropped off by a family member before his work, then called Uber again, and again I was refused a ride so I had to pay 25.00 out of pocket as I had my granddaughter which had to be dropped off home then myself.""",1,12,662,2017-02-16
"""I used Uber for the first time while in Italy. Tried two times to find my drivers. They had my hotel name. I was waiting outside for them. One driver never showed up. The other was late. Said he was waiting for  me down the street. I Cancelled. Uber then charges me 20 euros for two rides that never happened.  It took a \"" act of congress\"" to get a refund. They don't have customer service phone support. Just email and a self help system that has pre- chosen choices for you to pick regarding your problem. Then It directs you to a AI type system which is no help. Until this multi million dollar company decides to invest  in real phone support with a real C.S agent, I'll never use them.""",1,13,690,2018-07-04
"""You can't pay cash on Uber, so you can't control how much they put on your card.  A driverthat Uber seems to support is to not show your trip as ended.  So. The driver picked up my girlfriend and dropped her at my house, both addresses were input in the App, but she got no receipt that day as the trip according to Uber wasn't ended until over 20 hours and 50 miles.  I assume the driver defrauded us, or there was a glitch in their software, but after days of correspondence and sending a copy of the receipt, I still get the run-around.  I fought for Uber to be allowed here in Miami as the cabs were horrible.  Now the cabs are better, and I can avoid being scammed using Uber!""",1,14,681,2016-03-27
"""After about 20 rides last year on Uber, I have no complaints about convenience, safety or anything bad to say. I love Uber. I have gotten to all my destinations and had pleasant conversations with all the drivers.""",5,15,213,2019-03-19
"""how about I took uber about 6x and got a vehicle and uber continue to charge my credit cards that was on file. They have no real contact information so I am filing a claim against them for my money I dont care if it only 16 dollars....I believe in fairness and honesty...so I am filing....they arent helping the customer but instead cheating the customer.....and yet would have so questions on their site stating pick one you were drop off at the wrong location or your driver was lost no and no you took my money in my account when I didnt use you at all. Thanks and you have a good day@#$%^%$""",1,16,594,2018-04-12
"""I recently used Uber got to see the pic of the driver who was coming to get me and my friends, when the driver pulled up she had someone in the passanger seat with her there was 4 of us guys for this Uber ride, she told me she didn't know there was going to be 4 of us and said the passanger was her husband and told him he would have to go to the bar while she dropped us of since there was 4 of us and needed his space too and would be back for him, this made me feel really awkward and now ill take a taxi before calling Uber""",1,17,528,2015-10-26
"""The two drivers in Chicago left because they did not come to the pick up area. They went to the wrong street both times. We waited for 45 minutes and they charge us $5 both times for not being there. Uber is a great concept but have horrible drivers. This is the last time I ever use Uber again.""",1,18,295,2019-06-16
"""So, it had been a while since I visited New York City. At LaGuardia Airport I wanted a cab to get to my destination in Brooklyn and the Yellow Cab drivers refused to take me. I had truly forgotten how racist the Yellow cab drivers were in NYC. BUT! Thank GOODNESS for Uber! Downloaded the app, got my ride and used Uber my entire stay in NYC. TO HELL WITH THE YELLOW CABS! UBER IS THE GREATEST!""",5,19,394,2019-06-13
"""Thanks for not picking us or returning phone calls. Thank goodness for 444-4444.""",1,20,80,2015-12-20
"""I had 6-7 free rides which I was rewarded by referring my friends. Yesterday I referred one of my friend and she received first free ride and took a ride. I received a mail stating that I have earned free ride of 125/-. I then booked a cab in Uber but when I reached my destination I was charged the whole amount. I opened the app after paying the driver and saw there was no free rides available for me whereas day before yesterday I saw 6 free rides which were not expired also. I immediately mailed to customer help and they replied that I have misused my account to get a free ride. This is ridiculous. """,1,21,607,2016-06-20
"""I've driven for Uber for 3 years and constant battle for them to get fares accurate or my rides disappear completely. And it's always in their favor. And always the bigger fares. I've never been overpaid for a ride accidentally. Customer service is a joke. They act like idiots who can't understand common English and only ever send a canned response. It is the most frustrating customer services I've ever dealt with. Uber treats drivers as though they are expendable. When they list how many miles I drove on a ride it is always less than that what I actually drove according to my GPS.""",1,22,588,2018-09-08
"""So I scheduled at 4:15 to 4:25am pick-up from Uber to go to airport. Uber driver notified at 3:50am and dispatched to my house. Driver leaves before my pick-up window, does not tell me he is waiting (neither does App) and I get charged a cancellation fee. I try a second time to locate a driver on Uber but none available and a driver also not available on Lyft. I end up with a taxi and a hefty fare charge. Uber touts that they offer a guarantee that your driver will be there during your pick-up time or they will give you a $10 credit. It took two e-mails to get Uber to reverse the cancellation fee, this happened only after they admitted that their driver left early. Poor, poor driver service and customer service. If Uber will not stand behind their guarantee then how can you trust them to pick you up on your scheduled time? I only ask for accountability and dependable service, isn't this what we are paying for...""",1,23,925,2018-08-20
"""I thought they were good until one night I took use of Uber from Milwaukee Airport.  Before I selected what type of care service I wanted from Uber, I immediately got a phone call from an Uber Driver - which I thought was very odd as all other times they responded a few minutes AFTER I finished choosing the car type and then submitted.  A black car - a Lincoln Towncar showed up.  I was charged $55.00 just from the airport to West Allis.  I was expecting to pay about $20.00 which is what I paid on the way to the airport 5 days earlier.  After complaining to the company  all they said was that I chose the Black expensive car -  even though I never even had a chance to choose type of car on the APP  - the company said they already paid the driver so they could not do anything about it.  I think the driver knows how to intercept the signal as soon as you log into the APP - BEWARE!""",1,24,889,2015-03-05
"""I booked uber but those drivers told that we are very far we won't come to pick you.up...they suggested me to cancel it and book it again...again the next driver told me the same... I will be simply charged due to cancellation... _x000D_The company should check this... worst experience as I was in hurry...""",1,25,307,2017-07-02
"""An Uber driver was parked in a van with his door open waiting for a customer to come out. My son asked this driver to call 911 because there was a girl running around trying to stab him and his friends. This driver refused to call 911. Then this girl and a guy with a hoody on came up to my son and the guy stabbed my son in the neck and ran off. This Uber driver was still sitting there when this occurred. My son was on the ground holding his neck and blood was rushing out and he again asked your driver to please call 911. This Uber driver once again refused. """,1,26,564,2019-05-29
"""Do not lose anything in Uber otherwise your experience will be a nightmare getting them to recognize you. My friend had the ride set up however at the end of the trip I got dropped off leaving my wallet in the black leather seats, black wallet at night. Anyhow, my friend needed to provide verification about her account, no problem, except around 40 emails and 2 days later they didn't accept the email address from her account she provided at signing nor her phone number that she was calling from that she used for this ride. """,1,27,529,2017-10-30
"""JUST CHECKED MY ACCOUNT 12/31/15 AND SEEN THREE PENDING FROM UBER, NEVER EVER USED UBER IN MY LIFE, HOW DID THEY GET MY DEBIT INFO! HERE IS WHAT IS SAYS: I CAN'T EVEN GET AHOLD OF ANY UBER PERSON TO SEE WHO FRAUDULENTY GOT MY DEBIT CARD!_x000D_Pending_x000D_150717 DDA RECUR Uber BV / 150717 DDA RECUR Uber BV Uber BV help.uber.com NL NL *******10599 _x000D_-$4.17 _x000D_ Pending _x000D_150716 DDA RECUR Uber BV / 150716 DDA RECUR Uber BV Uber BV help.uber.com NL NL *******21693 _x000D_-$3.55 _x000D_ Pending _x000D_150715 DDA RECUR Uber BV / 150715 DDA RECUR Uber BV Uber BV help.uber.com NL NL *******10860 _x000D_-$1.23""",1,28,624,2015-12-31
"""I have used Uber since they came to my area. The prices have skyrocketed since they first began service here. The last two times I used it, the driver was lost and driving around forever so the wait was extremely long. Besides the price hikes, I really like Uber.""",4,29,263,2018-07-25
"""Unfortunately though, I recently had a bad experience with a driver   service was worse...""",1,30,90,2016-02-12
"""How do they keep getting away with things. I use Uber everyday multiple times a day. I've had drivers blow stop signs and drive recklessly etc. I needed an Uber the other night so I used my app and I was connected to Mohammed. He immediately calls me to tell me he is over 20 min. away even though my app which has always been accurate said he is 12 min. away. I told him I would wait. 30 min. later since he obviously took his sweet ** time he pulls up more than halfway up the block. I walk towards him and as I'm about to open the door on the driver's passenger side he drives off. He actually could've hit me and hurt me. I called him repeatedly with no answer. He then pulls up on the other end of the block on a main road. As I speed walk towards him waving my arms he drove off again. I then saw him drive by again and drive around the neighborhood and park around the block from me as you can see it on the app. I called him but nothing. """,1,31,946,2017-02-22
"""I usually have good experiences with Uber. Drivers are pleasant and cars are clean and on time. My only complaint is the extremely high rates at peak times. I had one trip where it was $60 to the event and $315 to return home. Obviously, I had to find another way to get home.""",5,32,276,2018-07-24
"""I live in Europe and I've started using Uber as I was traveling through middle and south america. At the beginning everthing was fine and I thought it was a great service but sadly I was proven wrong! As I wanted to go from Meddelin city colombia to the airport to take my flight to panama city, panama... I used the Uber App for the transfer and the price that was shown to me on the App was approx. $25. It was $5 more than what I've paid for a normal Taxi coming from the airport to Medellin city but I was in hurry so I took the offer. After I've arrived at the airport though I've noticed that $45 were booked from my cc by Uber for this ride, so I did what everyone would normally do and that is send a complaint to Uber about the overcharge. I did this using the Uber app. Anyhow two days later I've received an email from Uber and I couldn't believe what they wrote to me.\""Your account has been permanently suspended\"". So they have suspended my account permanently for sending a complaint via their App. Can anybody believe this? Well after seeing what United Airlines did to one of it's customers nothing should shock us anymore! But all I want to say here is.. we all need to always look for and use alternatives. These big companies need to have as much competition as possible otherwise they will grow arrogant and start treating their customers like trash.""",1,33,1369,2017-05-07
"""Sadly I have not had very good service in Edmonton by Uber in the last few months. I have been sworn at by drivers, insulted by drivers, had advances made toward me by drivers, and more. Most drivers refused to come into my condo complex because the GPS shows my address as in the middle of the road. If I pin the address as suggested on their website they go to the wrong address and then cancel the trip. I regularly get double charged and have to request a refund. Also I have been noticing that in the last few weeks I have be quoted a rate, charge the rate, then refunded that rate, and charged a higher rate every trip. The saddest part of all is that in Edmonton Uber is the safest way to travel outside of the bus. I wouldn't get into a cab in this city ever and now I don't ever want to get into an Uber. I have contact Uber about my issues as well and been threatened multiple times. Uber is all about $$. They could care less about their customers.""",1,34,959,2017-11-21
"""I woke up one day to find that someone had ordered a ride using my account in Philadelphia while I was asleep in New York. Naturally, I changed my password and sent an email to Uber's support team so that they could look into the issue. They did not look into the issue whatsoever, would not issue a refund, and failed to provide me with a number to call so that I could speak with a representative. Apparently, if someone steals your information from their poorly protected site/app and uses your money to pay for a ride, all Uber cares about is that someone paid for the ride. This will not be the only place I file a complaint.""",1,35,630,2017-03-26
"""I downloaded the app in Charleston and didn't even get to use it before it locked me out and wouldn't let me use either mobile number to create another account. Absolutely rubbish, terrible customer service. I couldn't even delete my account as it wouldn't let me. They kept referring me to emails the support team had sent but I never received them. Totally disgraceful company.""",1,36,379,2019-04-05
"""I had seven fraudulent Uber transactions over three days in mid-October on my credit card. For nearly a week, I tried unsuccessfully to get Uber customer service to help. Uber was totally uncooperative. They refused to engage in the fraudulent charges someone in their system imposed on me. I had to cancel my credit card, get a new credit card and leave my credit card company to battle awful Uber. Uber buyer beware. I know I will never use their services again.""",1,37,464,2019-10-21
"""I booked an UBER x car from Grand Central to Bed-Stuy and was quoted about $23. Driver was on his way and I got a text that said the fare changed due to increased demand. There was no other information on the app on the fare increase. I texted the driver and asked how much the surge was. He texted \""2.2\"" which I thought was $2.20 or about 10%. I got a receipt for $67.00!!! Or 2.2 TIMES the fare. Numerous emails late and they only want to give a \""Courtesy credit\"" of $18, still paid $50 for the fair quotes at $23.""",1,38,516,2017-05-09
"""I worked for Uber and Lyft for 2.5 years and all they did was take take take from the drivers who ate mostly foreign laborers here illegally and are afraid to fight back against corporate crime. Wage theft. Like you wouldn't believe. Don't do any Gig Economy job. The government needs labor regulations. The state of California is setting the example by fighting them!""",1,39,368,2019-10-24
"""My husband and I use UBER or Lyft frequently when we go out because we don't want to drink and drive, even a little. We moved a little over a year ago so now our average ride is about 25 minutes since we aren't as close to where we go with our friends. Without a doubt, at least the driver going there or coming home makes a complaint about the drive because they would like to stay in the busy area and just do a lot of short drives. It makes for a very uncomfortable ride. I even had one complain the whole time and then make sure I knew there was now an option for tipping. I tip almost all of the time but when I am made to feel uncomfortable because the driver has to do their job and drive me home, just farther than they would like, why would I tip that driver?! We all have things about our jobs we don't like but your main job is to drive.""",2,40,848,2019-03-20
"""My name is Scott and my husband was working for Uber. He had a ride with 3 people in it. When they got in they had a metal smoking pipe that they put out on the hood liner of my car. The pipe was left in the car and a burn hole in my car. He sent pictures to Uber and they said that they needed a quote. So the first quote we got was almost $2000 from Chrysler since that's my car. We only received the quote over the phone. It was too far away to drive so we called Chrysler near us. They referred us to a person that gave us a quote of about $300. He sent the quote to Uber and they got back to him today.""",1,41,607,2017-05-26
"""WE love to use UBER, all of the drivers we have had are friendly, timely and are great drivers. I only rated the safety as a 4 as I hear lots of things occurring regarding \""fake\"" UBER drivers. There has to be a better way of identifying the driver you are meeting. They are getting better and a lot has to do with the passenger as well.""",5,42,336,2019-03-21
"""I did an estimate on a trip that was supposed to only be an estimate price for $20. I didn't realize I picked a sub so after the ride I was charged $68.00. Why would I want to pay $68 if the taxi would of onlyour costed $30 I used Uber for over an year Iat not use uber anymore that was an outrageous price to pay for an $30 trip .""",1,43,331,2016-07-03
"""Ordered UBER and driver never turned up, charged 23.59 pounds. UBER said my fault as I did not cancel trip. After waiting for over 30 minutes and driver never turned up even though app said driver 11 minutes away over and over. UBER should give the option of customer being able to call driver from app like other companies.""",1,44,324,2019-02-27
"""I took Uber twice this weekend and both times the driver cancelled the trips before they got to me. When I asked for a refund they said it would be coming in 3-5 business days, yet it's been a week and I still have not received my money back. I'm out $30 because of this company and their terrible customer service. Just use Lyft for a way better experience.""",1,45,358,2018-06-06
"""I use UBER  frequently but this last time I was accused by a White driver that her property was stolen from her car. UBER contacted me to tell me my account had been canceled. I tried to contact UBER but they never replied back.""",1,46,228,2016-10-06
"""â€œHi, I would like a credit for the inconvenience my colleagues and students had to go through, as well as myself. I scheduled and placed this order at 8:30pm, for delivery between 10pm-10:30pm. At 11:00pm it was still pending, so we got food for our kids from somewhere else. At 12:20am, I just received a message that the order was accepted and is being delivered. This is unacceptable, as we had to spend $120 on room service due to the fact we could not reach the restaurant or Uber Eats and our students had to eat.""",1,47,521,2018-12-01
"""Uber one minute gave me a quote of $50 on a ride I needed. A kind family member helped me to pay for it by purchasing an Uber gift card for me. As soon as I loaded the gift card onto my account, I brought the same ride up in app--and now, not 10 minutes later, it showed $63! Just to see if this was due to surge pricing, I tried the same ride in Lyft. It was $50--the same price Uber had quoted me before I loaded the Uber gift card.""",1,48,434,2019-10-01
"""Uber as a company does not care about consumers. First, there is no way to communicate or get support. Second, there is no consistency between the website and the app. What can be done in one cannot in the other and vice versa. Third, the app does not always do what it is told. For instance I wanted to pay with a credit card and it defaulted to another account even though I specifically chose the CC. Fourth, the app rates the rider but does not give feedback. How does a rider know what they did that offended the driver so they can correct it? Finally, the web page and the app are cumbersome. It is extremely ironic that a user has to verify. They are not a robot to access a utility run completely by computers.""",1,49,718,2018-04-07
"""Rape culture. Enough said.""",1,50,26,2014-11-25
